id,name,email,phone,numbers,subject,contact_person,designation,user_id,pipeline_id,stage_id,sources,products,nill,detail,country,labels,order,status,created_by,is_active,is_converted,date,created_at,updated_at,notes
8148,OneCoWork Portal de l´Ángel | Coworking Barcelona,https://onecowork.com/locations/portal-de-l-angel,+34 937 00 44 94,,OneCoWork Portal de l´Ángel | Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8149,The Social Hub Coworking Barcelona Poblenou,https://www.thesocialhub.co/barcelona-poblenou/co-working-space/?utm_source=googlemybusiness&utm_medium=organic&y_source=1_Nzg0NDg1MjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+34 932 20 72 79,,The Social Hub Coworking Barcelona Poblenou,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8150,SINGULAR COWORK - Coworking a Gràcia,https://singularcowork.com/,+34 932 52 84 30,,SINGULAR COWORK - Coworking a Gràcia,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8151,Aticco Urquinaona - Coworking en Barcelona,https://aticco.com/coworking-barcelona/?utm_source=Google_Business&utm_medium=organic&utm_campaign=coworking_barcelona,+34 639 93 33 77,,Aticco Urquinaona - Coworking en Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8152,Monday Tibidabo | Coworking en Barcelona,https://mymonday.es/ubicaciones/tibidabo/,+34 936 59 79 37,,Monday Tibidabo | Coworking en Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8153,CREC Coworking Diagonal - Depot Lab Barcelona,https://crec.cc/,+34 672 62 71 73,,CREC Coworking Diagonal - Depot Lab Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8154,Coworking - Impact Hub en Barcelona,https://barcelona.impacthub.net/,+34 935 85 12 06,,Coworking - Impact Hub en Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8155,Coworking Cambrils,http://coworkingcambrils.cat/,+34 633 60 73 41,,Coworking Cambrils,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8156,Monday Diagonal | Coworking en Barcelona,https://mymonday.es/ubicaciones/diagonal/,+34 931 76 76 11,,Monday Diagonal | Coworking en Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8157,Aticco Hospitalet - Coworking en Hospitalet de Llobregat,https://aticco.com/aticco-hospitalet/?utm_source=Google_Business&utm_medium=organic&utm_campaign=coworking_hospitalet,+34 650 05 78 15,,Aticco Hospitalet - Coworking en Hospitalet de Llobregat,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8158,Eclektic Space I Coworking Poblenou,https://eclekticspace.com/,+34 628 47 04 21,,Eclektic Space I Coworking Poblenou,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8159,Coworking Transforma bcn,http://www.transformabcn.com/,+34 932 50 23 70,,Coworking Transforma bcn,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8160,Monday Pau Claris | Coworking en Barcelona,https://mymonday.es/ubicaciones/pau-claris/,+34 930 18 51 68,,Monday Pau Claris | Coworking en Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8161,Barcelona Reial Coworking,https://coworking-barcelona.com/,+34 695 09 76 12,,Barcelona Reial Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8162,Coworking - Factory103,http://www.factory103.es/,+34 936 41 90 19,,Coworking - Factory103,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8163,PAU,https://wearepau.com/,+34 699 12 43 02,,PAU,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8164,Aticco Verdaguer - El teu coworking a Gràcia,https://aticco.com/aticco-verdaguer/?utm_source=Google_Business&utm_medium=organic&utm_campaign=coworking_verdaguer,+34 683 31 28 48,,Aticco Verdaguer - El teu coworking a Gràcia,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8165,Coworking Poblenou - Barcelona,https://www.idealista.com/inmueble/31232724/,+34 600 52 41 87,,Coworking Poblenou - Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8166,Coworking La Platja,http://www.coworking-la-platja.com/,+34 722 17 08 57,,Coworking La Platja,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8167,Itnig Coworking,NULL,+34 930 00 84 94,,Itnig Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8168,WeWork - Espacio de oficinas y coworking,https://www.wework.com/es-ES/buildings/glories--barcelona?utm_source=Yext&utm_campaign=Organic&utm_medium=Listings,+34 919 01 76 50,,WeWork - Espacio de oficinas y coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8169,Meet BCN - Coworking Space in Barcelona,http://www.meetbcn.com/,+34 931 76 30 76,,Meet BCN - Coworking Space in Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8170,MOB Caterina - Coworking and Office Space,https://mob-barcelona.com/?utm_source=Google&utm_medium=Maps&utm_campaign=GMB_Caterina,+34 683 26 86 37,,MOB Caterina - Coworking and Office Space,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8171,WeWork - Espai d'oficines i coworking,https://www.wework.com/ca-ES/buildings/passeig-de-gracia-17--barcelona,+34 919 01 76 50,,WeWork - Espai d'oficines i coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8172,Coworking RAPID STUDIO,https://www.rapidstudio.es/,+34 616 39 53 82,,Coworking RAPID STUDIO,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8173,MAUI Beach Coworking,https://mauicowork.com/,+34 652 34 96 03,,MAUI Beach Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8174,Coworking LOOM Plaza Catalunya,https://loom.es/espacios-coworking/barcelona/loom-plaza-catalunya/?utm_medium=gmb_fuente&utm_source=loom_plaza_catalunya&utm_campaign=,+34 696 77 27 30,,Coworking LOOM Plaza Catalunya,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8175,Eco-Working Poblenou,https://ecoworking.cannova.net/,+34 635 85 54 34,,Eco-Working Poblenou,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8176,Cloudworks Sant Joan,https://wearecloudworks.com/coworking/sant-joan/,+34 930 18 09 15,,Cloudworks Sant Joan,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8177,Aticco Bogatell - Coworking en Poblenou Barcelona,https://aticco.com/aticco-bogatell/?utm_source=Google_Business&utm_medium=organic&utm_campaign=coworking_bogatell,+34 629 57 77 17,,Aticco Bogatell - Coworking en Poblenou Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8178,Utopicus Gal·la Placídia - Oficinas & Coworking,https://utopicus.es/utopicus-gal-la-placidia?utm-source=google&utm-medium=organic&utm_campaign=google-local_BCN-GLP,+34 934 92 90 59,,Utopicus Gal·la Placídia - Oficinas & Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8179,Loft 153 - Coworking space & Offices,http://www.loft153.com/,+34 634 63 38 71,,Loft 153 - Coworking space & Offices,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8180,Cwork Barcelona Coworking,http://www.cwork.cat/,+34 616 67 39 81,,Cwork Barcelona Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8181,Em coworking,https://www.emcoworking.com/,+34 626 07 52 77,,Em coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8182,CREC Coworking Eixample,http://www.crec.cc/,+34 931 16 55 85,,CREC Coworking Eixample,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8183,Coworking CREC Gràcia - DepotLab,https://crec.cc/,+34 672 62 71 73,,Coworking CREC Gràcia - DepotLab,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8184,GOHO Coworking,http://www.gohocoworking.com/,+34 696 57 69 32,,GOHO Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8185,La Fabrica &Co | Coworking Barcelona,https://lafabrica-co.com/coworking/,+34 660 12 12 52,,La Fabrica &Co | Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8186,La Cleda Coworking Sant Cugat,http://www.lacleda.co/,+34 690 84 68 62,,La Cleda Coworking Sant Cugat,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8187,NewWork Coworking & Workspace - Oficinas - Despachos,https://newworkcoworking.com/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business,+34 638 79 54 74,,NewWork Coworking & Workspace - Oficinas - Despachos,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8188,Betahaus | Coworking Barcelona,https://www.betahaus.es/?utm_source=gmb&utm_medium=gbf&utm_campaign=gbf,+34 655 62 71 49,,Betahaus | Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8189,Coworking Wekow Balmes y Rosselló,https://wekow.com/,+34 608 01 47 50,,Coworking Wekow Balmes y Rosselló,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8190,Cloudworks Sagrada Família | Coworking y oficinas privadas,https://wearecloudworks.com/coworking/sagrada-familia/,+34 930 18 09 15,,Cloudworks Sagrada Família | Coworking y oficinas privadas,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8191,Àtic Pau Claris - Coworking y Business Center,http://www.aticgroup.es/,+34 936 55 22 21,,Àtic Pau Claris - Coworking y Business Center,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8192,Coworking Vilanova,http://www.coworkingvilanova.com/,+34 669 77 37 70,,Coworking Vilanova,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8193,Coworking El Raval,https://www.coworking-el-raval.com/,+34 622 47 55 91,,Coworking El Raval,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8194,City Work Bcn | Coworking Barcelona,https://cityworkbcn.com/,+34 626 13 59 62,,City Work Bcn | Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8195,Cwork Coworking Barcelona,https://cwork.cat/,+34 616 67 39 81,,Cwork Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8196,La Caravana Coworking Tarragona,http://www.lacaravanacoworking.com/,+34 604 91 00 28,,La Caravana Coworking Tarragona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8197,Coworking LOOM Glòries,https://loom.es/espacios-coworking/barcelona/loom-glories/?utm_medium=gmb_fuente&utm_source=loom_glories&utm_campaign=,+34 616 76 59 44,,Coworking LOOM Glòries,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8198,Cwork Coworking Barcelona,https://cwork.cat/,+34 616 67 39 81,,Cwork Coworking Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8199,Coworking Bitàcola,http://www.coworking-bitacola.com/,+34 938 07 19 67,,Coworking Bitàcola,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8200,COWORKING PASSATGE NOGUÉS,https://passatgenogues.wixsite.com/cwnogues,+34 617 71 48 30,,COWORKING PASSATGE NOGUÉS,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8201,Cloudworks Sant Antoni,https://wearecloudworks.com/coworking/sant-antoni/,+34 930 18 81 89,,Cloudworks Sant Antoni,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8202,Monday Arroba | Coworking en Barcelona,https://mymonday.es/ubicaciones/arroba/,+34 930 18 52 39,,Monday Arroba | Coworking en Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8203,Utopicus Torre Marenostrum - Oficinas & Coworking,https://utopicus.es/utopicus-torre-marenostrum?utm-source=google&utm-medium=organic&utm_campaign=google-local_BCN-TMN,+34 934 92 90 59,,Utopicus Torre Marenostrum - Oficinas & Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8204,COCO PLACE : Coworking Gràcia Barcelona,http://www.cocoplace.cat/,+34 931 79 72 87,,COCO PLACE : Coworking Gràcia Barcelona,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8205,AB21 space. Coworking,NULL,+34 607 65 82 44,,AB21 space. Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8206,"Coworking Boutique Pau Claris, 108",https://coworkingboutique.es/,+34 685 50 67 31,,"Coworking Boutique Pau Claris, 108",NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8207,Coworking Boutique Rambla Catalunya 73,https://coworkingboutique.es/,+34 685 50 67 31,,Coworking Boutique Rambla Catalunya 73,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8208,Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,https://www.wojo.com/es-ES/espacios-de-trabajo/wojo-barcelona-poblenou,+34 931 22 27 72,,Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8209,The Bridge Coworking,https://thebridge-coworking.com/,+34 934 90 22 37,,The Bridge Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8210,Coworking Oficina24,https://www.oficina24.es/,+34 608 36 34 41,,Coworking Oficina24,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8211,Diputación409 - Coworking,https://diputacion409.com/,+34 625 13 93 93,,Diputación409 - Coworking,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8212,BDN Lab,https://bdnlab.org/,+34 932 07 50 52,,BDN Lab,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8213,"Spaces - Barcelona, Spaces 22 Arroba",https://www.spacesworks.com/es/barcelona/22-arroba?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall,+34 935 24 72 00,,"Spaces - Barcelona, Spaces 22 Arroba",NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8214,Cloudworks 22@,https://wearecloudworks.com/coworking/22-glories/,+34 930 18 09 15,,Cloudworks 22@,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8215,Start2bee Coworking & Events Space,http://www.start2bee.com/,+34 932 85 70 77,,Start2bee Coworking & Events Space,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8216,Aurea Coworking | Sarrià,https://www.aureacoworking.com/,+34 931 59 20 24,,Aurea Coworking | Sarrià,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8217,Coworking en Barcelona - Coworking Platon,https://coworkingplaton.com/,+34 671 48 03 80,,Coworking en Barcelona - Coworking Platon,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8218,Espai Born,http://www.espaiborn.com/,+34 935 04 95 53,,Espai Born,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8219,"Loft 153 - Coworking, coffeeworking & Events",https://www.loft153.com/,+34 634 63 38 71,,"Loft 153 - Coworking, coffeeworking & Events",NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8220,Coworking Loft para Creativos: WeLoft,http://www.weloft.barcelona/,+34 636 31 85 37,,Coworking Loft para Creativos: WeLoft,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8221,Coworking Dinamic Benicassim Castellón,https://coworkingdinamic.es/,+34 673 30 60 11,,Coworking Dinamic Benicassim Castellón,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8222,COW Coworking en Castellón,https://www.workingatcow.com/,+34 637 13 76 91,,COW Coworking en Castellón,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8223,Avant Coworking Tgn,http://www.coworkingtarragona.com/,+34 635 61 79 69,,Avant Coworking Tgn,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8224,Coworking Sant Cugat,https://coworkingspain.es/espacios/coworking/sant-cugat-del-valles/coworking-sant-cugat,+34 935 83 00 11,,Coworking Sant Cugat,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
8225,Flycowork | Coworking & Oficinas Privadas,https://www.flycowork.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+34 932 20 20 46,,Flycowork | Coworking & Oficinas Privadas,NULL,NULL,106,10,82,NULL,NULL,,NULL,NULL,NULL,0,0,2,1,0,9/30/2025,9/30/2025 16:17,9/30/2025 16:17,NULL
